"id","source","target"
"57ee45e89961911b13c3edf9886b2345ed055832","Listado de Albumes","Album List"
"6edbc2b0d88bee7f714b3aca8fab1c0efae43f89","Álbumes (Total encontrados:","Albums (Total found:"
"bbff120d1547543c485448eafd7ef2fe3ac65478","No se ha encontrado ningun álbum","No album found"
"bcbe1a5c073dcb1377ac55d72954612bb0ecfbd1","Listado de álbumes","Album listing"
"dd2a11ebc737589080ed400dacc33a8c8c84728b","Nombre","Name"
"f2cc7e87927ebcee1f055b95bbd05d28a801f3e8","Genero","Gender"
"8447785610bd66182da8f3198aa1502721ad69fb","Discografica","Discography"
"9ed159d0557082db18a0d9b2e64b4abd0d23496d","Artista","Artist"
"82eccf817e07e158dc1c096a622e616ab6a07a97","Expand/Collapse","Expand / Collapse"
"ce99fbb2724383169925d4042ed56a458b5cdfc8","Album:","Album:"
"c85820e0b5a13e5c850dfefad2eae281b93798dc","Artista:","Artist:"
"28d00e5dce8834b29addda7bb63bb3b04f84b521","Fecha Lanzamiento:","Release Date:"
"e24bbdbae856e155640c3f15468e92c4f0831b59","Genero:","Gender:"
"8ef6a6386b1e476608cf0e5ebe364e86a72c596d","Casa Discografica:","Record House:"
"aefec6c1ca8f79a45755bd42e75dbdb2c34ab3ab","Calificación:","Qualification:"
"78e4ce3a751d3ef67201119d1edd54e00bb13fe0","Detalle de un album","Detail of an album"
"c01abbdcf30c2b4ff99aeeed54c399370b3f7cfd","Duración","Duration"
"c2e9284712f6e93d0e226b5ced4a9880e137a061","Listado de Coleccionistas","Collector's List"
"6963eb8bf43126b1e1a3e229190f513b347944a3","Coleccionistas (Total encontrados:","Collectors (Total found:"
"f2c8623626da2f9d52a5868b509e447cbbaadf6b","No se ha encontrado ningun coleccionista","No collector found"
"e069858fb9de256c596cdc30a2c38fdd7db8bbbf","Listado de coleccionistas","Collector's List"
"20de7814985da87fe6648630d9e14b67324ddd2b","Nombre:","Name:"
"eb1a4116da02bd9284ee59cd77d82a2fb6e5ab00","Artistas Favoritos:","Favourite artists:"
"1df96bb3bda704ebfd99e9f1a2211884396d36b6","Detalles de un coleccionista","Details of a collector"
"e5bb174945d3ab4bee326a155018cfa15861af89","Listado de Artistas","List of Artists"
"29addf769b478b182e493b66c5f5fabcac5f0311","Artistas (Total encontrados:","Artists (Total found:"
"a8472ae3702d04042c82a28424b2737372d30d34","No se ha encontrado ningun artista","No artist has been found"
"88b513a82a75edcc3bb7b3b3e4a47e8ca4c7affc","Listado de artistas","List of artists"
"5fd0625acbdc1a0e00ba65fa05accca927f7a579","Imagen de la Banda","Band Image"
"0b66ea024dcae70c998920ea97c465de966ad2db","Imagen de la Banda no disponible","Band image not available"
"378ee482a733c2545b0b5872649cdc7f5ccb0586","Fecha de Formación:","Training Date:"
"a9149f0a30a0bdf976f9b2c9deccb250d4ea7c0e","Descripción:","Description:"
"8bcc3c64060e3a01a92e031bcb8e5a3a7f3563c4","Premios recibidos:","Awards received:"
"aea1b6f54e20b640b967fd3edc9cb1a27948bd7a","Detalle de premios recibidos","Details of awards received"
"812c335ddf02b72a1e58be69413e6735980ed674","Organización","Organization"
"3b3edcd12989970e591eb2efaf9acb7f063d55a6","My Vinyls Logo","My Vinyls Logo"
"eb411345085acad2a3764b6f65c179a5d6f14057","Menu Albumes","Albums Menu"
"c8fde66a0022d09a6ec0d3844568e486381d797f","Albums","Albums"
"45852f61a553959383883ccc505dfd90b6197e0f","Menu Artistas","Artists Menu"
"4c08ecac6c3cebd73ad041c503cfaf339e3e0b00","Artistas","Artists (edit)"
"15b2b0ba0029623b5a8f32dac9f942960fc7bf3f","Menu Coleccionistas","Collectors Menu"
"7b58538b1dd31df6643c09049be1550edbc8641e","Coleccionistas","Collectors"
"047708832a9b64b29803fd2a8c4d0fc462d52471","Iniciar Sesion","Log in"
"a7660bccc590a42a68c844a6a06c61a3b0c9ce52","!!Dejalo Sonar!!","!! Let It Ring !!"
