"id","source","target"
"57ee45e89961911b13c3edf9886b2345ed055832","Listado de Albumes","Liste d'albums"
"6edbc2b0d88bee7f714b3aca8fab1c0efae43f89","Álbumes (Total encontrados:","Albums (Total trouvé:"
"bbff120d1547543c485448eafd7ef2fe3ac65478","No se ha encontrado ningun álbum","Aucun album trouvé"
"bcbe1a5c073dcb1377ac55d72954612bb0ecfbd1","Listado de álbumes","Liste des albums"
"dd2a11ebc737589080ed400dacc33a8c8c84728b","Nombre","nom"
"f2cc7e87927ebcee1f055b95bbd05d28a801f3e8","Genero","Le genre"
"8447785610bd66182da8f3198aa1502721ad69fb","Discografica","Discographie"
"9ed159d0557082db18a0d9b2e64b4abd0d23496d","Artista","Artiste"
"82eccf817e07e158dc1c096a622e616ab6a07a97","Expand/Collapse","Développer / Réduire"
"ce99fbb2724383169925d4042ed56a458b5cdfc8","Album:","Album:"
"c85820e0b5a13e5c850dfefad2eae281b93798dc","Artista:","Artiste:"
"28d00e5dce8834b29addda7bb63bb3b04f84b521","Fecha Lanzamiento:","Date de sortie:"
"e24bbdbae856e155640c3f15468e92c4f0831b59","Genero:","Le genre:"
"8ef6a6386b1e476608cf0e5ebe364e86a72c596d","Casa Discografica:","Maison de disques:"
"aefec6c1ca8f79a45755bd42e75dbdb2c34ab3ab","Calificación:","Qualification:"
"78e4ce3a751d3ef67201119d1edd54e00bb13fe0","Detalle de un album","Détail d'un album"
"c01abbdcf30c2b4ff99aeeed54c399370b3f7cfd","Duración","Durée"
"c2e9284712f6e93d0e226b5ced4a9880e137a061","Listado de Coleccionistas","Liste des collectionneurs"
"6963eb8bf43126b1e1a3e229190f513b347944a3","Coleccionistas (Total encontrados:","Collectionneurs (Total trouvé:"
"f2c8623626da2f9d52a5868b509e447cbbaadf6b","No se ha encontrado ningun coleccionista","Aucun collecteur trouvé"
"e069858fb9de256c596cdc30a2c38fdd7db8bbbf","Listado de coleccionistas","Liste des collectionneurs"
"20de7814985da87fe6648630d9e14b67324ddd2b","Nombre:","Nom:"
"eb1a4116da02bd9284ee59cd77d82a2fb6e5ab00","Artistas Favoritos:","Artistes préférés:"
"1df96bb3bda704ebfd99e9f1a2211884396d36b6","Detalles de un coleccionista","Détails d'un collectionneur"
"e5bb174945d3ab4bee326a155018cfa15861af89","Listado de Artistas","Liste des artistes"
"29addf769b478b182e493b66c5f5fabcac5f0311","Artistas (Total encontrados:","Artistes (Total trouvé:"
"a8472ae3702d04042c82a28424b2737372d30d34","No se ha encontrado ningun artista","Aucun artiste n'a été trouvé"
"88b513a82a75edcc3bb7b3b3e4a47e8ca4c7affc","Listado de artistas","Liste des artistes"
"5fd0625acbdc1a0e00ba65fa05accca927f7a579","Imagen de la Banda","Image de bande"
"0b66ea024dcae70c998920ea97c465de966ad2db","Imagen de la Banda no disponible","Image de bande non disponible"
"378ee482a733c2545b0b5872649cdc7f5ccb0586","Fecha de Formación:","Date de la formation:"
"a9149f0a30a0bdf976f9b2c9deccb250d4ea7c0e","Descripción:","Description:"
"8bcc3c64060e3a01a92e031bcb8e5a3a7f3563c4","Premios recibidos:","Récompenses reçues:"
"aea1b6f54e20b640b967fd3edc9cb1a27948bd7a","Detalle de premios recibidos","Détails des récompenses reçues"
"812c335ddf02b72a1e58be69413e6735980ed674","Organización","Organisation"
"3b3edcd12989970e591eb2efaf9acb7f063d55a6","My Vinyls Logo","Mon logo vinyle"
"eb411345085acad2a3764b6f65c179a5d6f14057","Menu Albumes","Menu Albums"
"c8fde66a0022d09a6ec0d3844568e486381d797f","Albums","Les albums"
"45852f61a553959383883ccc505dfd90b6197e0f","Menu Artistas","Menu Artistes"
"4c08ecac6c3cebd73ad041c503cfaf339e3e0b00","Artistas","Artistes (modifier)"
"15b2b0ba0029623b5a8f32dac9f942960fc7bf3f","Menu Coleccionistas","Menu des collectionneurs"
"7b58538b1dd31df6643c09049be1550edbc8641e","Coleccionistas","Collectionneurs"
"047708832a9b64b29803fd2a8c4d0fc462d52471","Iniciar Sesion","Commencer la session"
"a7660bccc590a42a68c844a6a06c61a3b0c9ce52","!!Dejalo Sonar!!","!! Laissez-le sonner !!"
